id;Severity;age_classes;day_week;DEFORMED_classes;m_harm_classes;hour;impact1_classes;lgt_cond;make;man_coll;month;p_crash1;pcrash4;pcrash5;rel_road;reljct1;reljct2;rest_use;sex;speed_classes;typ_int;valign;vnum_lan;vsurcond;vtrafway;weather_classes
24;0;4;5;4;1;7;13;1;4.0;4;5;1;2;2;1;0;8;1.0;1.0;4;1;2;3;2;2;1
27;0;8;7;4;1;22;13;3;4.0;4;5;1;2;2;1;0;2;1.0;1.0;5;2;2;3;2;2;1
28;1;10;7;4;1;10;13;1;7.0;4;5;1;2;2;1;0;8;3.0;1.0;5;1;2;3;2;2;1
29;1;6;7;4;1;14;13;1;7.0;4;5;7;2;2;1;0;1;1.0;1.0;4;1;2;3;2;2;1
32;0;6;6;4;1;5;13;4;10.0;1;6;8;2;3;4;0;1;3.0;1.0;4;1;3;3;2;2;1
34;0;4;1;4;1;23;13;3;4.0;2;6;1;2;2;1;0;1;1.0;1.0;7;1;2;4;2;4;1
38;0;8;6;4;5;21;13;3;7.0;1;6;1;2;3;4;0;3;1.0;1.0;4;1;2;3;2;2;1
40;0;6;1;4;1;3;13;3;4.0;3;6;1;2;2;1;0;1;1.0;1.0;6;1;2;3;2;4;1
41;1;2;2;4;1;20;10;3;4.0;4;6;8;2;2;1;0;8;1.0;1.0;4;1;4;3;2;2;1
42;0;9;2;4;2;21;13;3;7.0;1;6;8;2;3;4;0;1;1.0;1.0;5;1;3;3;2;3;1
44;1;7;4;4;1;11;4;1;7.0;4;6;1;2;2;1;0;8;1.0;1.0;4;1;2;3;2;2;1
45;0;7;6;4;2;3;13;3;4.0;1;6;8;2;3;4;0;1;1.0;1.0;5;1;4;3;2;2;1
49;0;8;7;4;5;13;13;1;7.0;1;7;7;2;3;4;0;1;1.0;1.0;5;1;2;3;2;2;1
50;1;5;2;4;1;19;11;5;7.0;1;7;8;2;3;4;0;1;1.0;1.0;4;1;4;3;2;2;1
55;0;5;1;4;4;16;13;1;10.0;1;7;1;2;3;4;0;1;3.0;1.0;6;1;2;3;2;2;1
58;0;6;2;4;1;21;13;3;8.0;1;8;8;2;3;4;0;1;1.0;1.0;5;1;4;3;2;2;1
61;0;7;3;4;4;16;13;1;1.0;1;8;8;2;3;4;0;1;1.0;1.0;5;1;3;3;2;2;1
62;1;6;4;4;5;13;1;1;2.0;1;8;8;2;3;4;0;5;2.0;1.0;6;1;3;4;2;7;1
66;1;8;6;4;5;23;1;3;7.0;1;8;1;2;3;4;0;1;2.0;1.0;5;1;2;3;2;2;1
68;1;6;6;4;1;17;13;1;4.0;4;9;1;2;2;1;0;2;1.0;1.0;6;2;2;3;2;2;1
70;1;7;5;4;1;16;13;1;7.0;2;9;1;2;2;1;0;3;2.0;1.0;4;3;2;3;2;2;1
72;1;3;7;4;5;22;1;3;7.0;1;9;8;2;3;4;0;1;2.0;1.0;4;1;3;3;2;2;1
74;1;12;5;4;4;12;13;1;7.0;1;9;8;2;3;4;0;1;1.0;1.0;5;1;4;3;2;3;1
78;0;5;7;4;1;12;3;1;2.0;4;10;1;2;2;1;0;8;2.0;1.0;4;1;2;3;2;2;1
79;1;9;7;4;1;13;13;1;7.0;4;10;1;2;2;1;0;2;2.0;1.0;4;2;2;3;2;3;1
81;0;9;4;4;1;16;11;1;8.0;4;10;1;2;2;1;0;3;1.0;1.0;4;2;2;3;2;3;1
86;0;7;4;4;1;7;13;1;7.0;4;11;1;2;2;1;0;2;2.0;1.0;5;2;2;3;2;3;1
87;0;4;1;4;1;20;13;2;4.0;4;10;1;2;2;1;0;8;1.0;1.0;5;1;2;3;2;3;1
88;1;6;5;3;5;22;1;3;4.0;1;11;3;2;2;1;0;1;1.0;1.0;3;1;2;3;2;2;1
89;0;2;7;4;1;9;18;1;2.0;4;11;1;2;2;1;0;8;3.0;1.0;2;1;2;3;2;2;1
90;0;8;4;4;1;19;13;3;7.0;1;12;1;2;2;1;0;1;2.0;1.0;5;1;2;3;2;3;1
98;1;10;4;4;1;17;13;1;7.0;4;8;1;2;2;1;0;2;1.0;1.0;3;2;2;3;2;2;1
104;0;8;1;2;5;12;1;1;1.0;1;8;1;3;3;2;0;1;1.0;1.0;3;1;2;3;9;2;1
105;1;10;3;4;1;14;4;1;8.0;4;8;8;2;2;1;0;2;1.0;1.0;2;2;2;3;2;4;1
109;0;3;3;4;5;18;15;2;4.0;1;1;8;2;3;4;0;1;3.0;1.0;4;1;3;3;2;2;1
110;0;7;7;4;4;24;15;2;2.0;1;1;8;2;3;4;0;1;3.0;1.0;5;1;4;3;2;2;1
117;1;10;6;4;5;15;1;1;4.0;1;2;1;2;2;1;0;1;1.0;1.0;3;1;2;3;2;2;1
119;0;4;3;3;5;20;15;2;10.0;1;2;8;2;3;3;0;1;1.0;1.0;6;1;3;4;2;3;1
123;1;9;2;4;1;19;19;3;8.0;6;3;8;2;2;1;0;1;3.0;1.0;4;1;4;5;2;5;1
126;1;8;7;4;1;9;18;1;7.0;5;3;1;2;2;1;0;1;3.0;1.0;4;1;2;3;2;2;1
129;1;10;2;4;1;16;13;1;2.0;4;3;1;2;2;1;0;2;3.0;1.0;4;3;2;3;2;3;1
130;1;9;3;4;1;17;13;1;2.0;4;2;1;2;2;1;0;2;3.0;1.0;3;2;2;3;2;2;1
133;1;9;5;4;1;17;13;1;7.0;4;2;1;2;2;1;0;2;3.0;1.0;3;2;2;6;2;5;1
134;0;3;1;4;1;12;13;1;2.0;4;3;1;3;2;1;0;2;1.0;1.0;4;3;2;3;2;3;1
135;1;5;5;4;1;18;13;5;4.0;4;3;1;3;2;1;0;2;3.0;2.0;3;2;2;5;2;5;1
136;1;9;7;4;1;16;18;1;7.0;4;3;1;3;2;1;0;2;3.0;1.0;4;2;2;4;2;3;1
141;0;8;7;4;5;16;1;1;7.0;4;4;1;2;2;1;1;12;3.0;1.0;5;1;2;5;2;4;1
148;0;4;5;4;1;8;1;1;8.0;1;4;8;2;2;1;0;2;1.0;1.0;3;2;2;5;2;2;1
152;0;9;1;4;1;13;13;1;7.0;3;4;8;2;2;1;0;1;3.0;1.0;4;1;3;3;2;2;1
153;1;7;1;4;5;13;1;1;7.0;3;4;8;2;2;1;0;1;1.0;2.0;4;1;3;3;2;2;1
156;1;10;6;4;1;16;22;1;7.0;4;4;1;3;2;1;0;1;1.0;1.0;5;1;2;3;2;3;1
157;1;5;1;4;1;1;13;3;4.0;2;5;1;2;2;1;0;3;3.0;1.0;3;2;2;4;2;3;1
159;1;8;1;4;5;18;13;1;7.0;2;5;7;2;3;2;0;1;1.0;1.0;5;1;2;3;2;2;1
161;0;6;7;4;1;21;13;2;7.0;1;5;1;2;2;1;0;1;3.0;1.0;4;1;2;4;2;4;1
165;1;9;7;4;5;15;15;1;7.0;1;5;1;2;2;1;0;1;3.0;1.0;3;1;2;3;2;2;1
166;1;7;7;4;5;13;1;1;7.0;1;5;1;3;3;2;0;1;3.0;1.0;5;1;2;8;2;4;1
168;0;10;7;3;1;15;13;1;7.0;1;5;8;2;3;4;0;1;3.0;1.0;4;1;4;4;2;2;1
174;1;7;6;4;1;22;21;3;4.0;1;5;1;2;2;3;0;8;3.0;1.0;3;1;2;4;2;3;1
175;0;9;1;4;1;21;13;3;10.0;3;5;8;2;2;1;0;1;3.0;1.0;5;1;3;6;2;5;1
177;1;9;2;4;1;10;7;1;2.0;2;6;1;2;2;1;0;1;1.0;1.0;4;1;2;3;2;3;1
178;0;12;7;4;5;22;15;2;4.0;1;6;1;2;3;4;0;1;1.0;1.0;5;1;2;3;2;3;1
179;1;6;6;4;1;13;13;1;4.0;2;6;8;3;2;1;0;1;1.0;1.0;6;1;4;3;2;4;1
182;0;5;6;4;1;17;13;1;10.0;4;6;1;2;2;1;0;2;3.0;1.0;5;3;2;3;2;2;1
186;1;9;6;4;5;20;15;2;7.0;1;7;1;2;3;3;0;1;1.0;1.0;5;1;2;3;2;3;1
187;0;7;4;4;2;4;15;1;2.0;1;7;8;2;3;4;0;1;3.0;1.0;4;1;4;3;2;2;1
188;0;7;4;4;1;7;7;1;4.0;2;7;7;2;2;1;0;1;1.0;1.0;5;1;2;7;2;4;1
189;1;5;6;4;1;23;13;2;2.0;4;7;7;2;2;1;0;2;3.0;1.0;5;3;2;3;2;2;1
191;1;6;6;4;1;4;1;3;4.0;1;7;1;2;2;1;0;2;1.0;1.0;3;2;2;6;2;5;1
192;0;9;6;4;1;8;13;1;2.0;4;8;1;3;2;1;0;8;1.0;1.0;3;1;2;3;2;2;1
194;0;3;2;4;1;20;13;3;4.0;4;8;1;3;2;1;0;2;3.0;1.0;4;2;2;4;2;3;1
202;0;3;4;4;4;2;15;2;2.0;1;9;8;2;3;4;0;1;1.0;1.0;7;1;4;3;2;3;1
203;0;8;6;4;5;20;21;2;7.0;1;9;8;2;3;4;0;1;3.0;1.0;3;1;4;3;2;2;1
204;1;4;7;4;1;2;13;2;4.0;2;9;1;2;2;1;0;1;1.0;1.0;6;1;2;5;2;2;1
205;1;3;7;4;1;4;1;3;10.0;1;9;1;2;2;1;1;2;3.0;1.0;4;3;2;4;2;3;1
208;1;9;7;4;1;11;18;1;7.0;6;9;8;2;2;1;0;1;1.0;1.0;3;1;3;3;2;2;1
209;0;10;7;4;1;11;18;1;7.0;6;9;8;2;2;1;0;1;1.0;1.0;3;1;4;3;2;2;1
211;0;8;7;4;1;1;7;3;2.0;2;9;1;2;2;1;0;1;3.0;1.0;4;1;2;5;2;5;1
213;1;4;4;4;1;22;13;3;4.0;4;8;1;2;2;1;0;2;1.0;1.0;3;2;2;5;2;5;1
215;1;3;2;4;1;20;13;3;2.0;3;8;1;2;2;1;0;8;1.0;1.0;3;1;2;6;2;5;1
218;1;7;5;4;5;14;1;1;7.0;1;9;8;2;3;4;0;1;3.0;1.0;4;1;4;3;2;2;1
222;1;6;4;4;5;17;1;5;7.0;1;10;1;3;2;1;0;1;1.0;1.0;4;1;2;4;2;4;1
225;1;4;2;4;1;16;13;1;7.0;4;10;1;2;2;1;0;2;3.0;2.0;3;2;2;4;2;4;1
228;1;3;7;4;5;24;1;3;10.0;1;9;8;3;2;1;0;1;1.0;1.0;4;1;3;4;2;2;1
229;1;10;7;4;1;12;1;1;7.0;1;9;2;3;2;1;0;1;3.0;1.0;5;1;2;5;2;4;1
230;1;4;7;4;1;12;15;1;2.0;1;9;2;3;2;1;0;1;3.0;1.0;5;1;2;5;2;4;1
232;0;3;1;4;1;15;1;1;4.0;1;9;1;3;2;1;0;8;1.0;1.0;5;1;2;3;2;3;1
236;0;4;1;4;1;24;13;3;7.0;1;10;1;2;3;4;0;3;3.0;2.0;3;3;2;5;2;5;1
238;1;11;4;4;5;9;1;1;7.0;1;10;8;2;3;4;0;1;1.0;1.0;4;1;4;3;2;2;1
239;1;6;5;4;1;17;13;1;3.0;4;10;1;3;2;1;0;8;1.0;1.0;3;1;2;5;2;5;1
242;1;9;4;4;1;17;18;1;7.0;4;11;8;2;2;1;0;2;3.0;1.0;2;3;2;2;2;3;1
243;1;9;3;4;1;23;13;3;7.0;1;11;1;2;3;4;0;1;3.0;1.0;5;1;2;5;2;4;1
244;0;8;7;4;5;14;1;1;7.0;1;11;1;2;3;2;0;1;1.0;1.0;5;1;2;3;2;2;1
245;1;8;4;4;5;14;1;1;7.0;1;11;1;3;2;1;0;8;3.0;1.0;3;1;2;3;2;2;1
248;1;4;6;4;1;13;13;1;4.0;2;11;7;2;2;1;1;12;1.0;1.0;3;1;2;4;2;6;1
250;0;7;7;4;1;13;7;1;10.0;2;11;2;2;2;1;0;1;3.0;1.0;3;1;2;5;2;5;1
255;0;5;4;4;1;16;13;1;2.0;4;12;1;3;2;1;0;2;1.0;1.0;4;3;2;4;2;3;1
256;0;3;6;3;5;20;1;2;2.0;4;11;1;2;2;1;0;8;1.0;1.0;4;1;2;3;2;3;1
258;1;3;3;4;1;20;13;3;2.0;4;11;1;2;2;1;0;2;1.0;1.0;4;2;2;6;2;5;1
259;1;3;7;4;1;12;13;1;4.0;4;11;1;2;2;1;0;3;1.0;1.0;3;2;2;5;2;5;1
260;1;10;3;4;1;17;13;5;10.0;2;11;1;2;2;1;0;1;1.0;1.0;3;1;2;5;2;4;1
265;1;8;6;4;1;12;13;1;10.0;4;12;1;2;2;1;0;2;3.0;1.0;4;3;2;5;2;5;1
268;0;3;4;4;1;18;13;6;2.0;3;3;1;2;2;1;0;1;1.0;1.0;7;1;2;3;2;2;1
310;1;3;3;3;5;24;2;6;8.0;1;8;1;2;3;3;0;1;3.0;1.0;4;1;2;3;2;4;1
342;0;7;3;4;5;15;1;1;7.0;1;1;8;2;3;5;0;1;1.0;1.0;4;1;3;3;2;2;1
344;0;7;5;4;1;18;13;3;7.0;4;1;1;2;2;1;0;2;2.0;1.0;4;3;2;5;2;5;1
345;1;3;3;4;1;9;13;1;4.0;3;1;1;2;2;1;0;3;2.0;1.0;3;2;2;5;2;5;1
346;1;8;4;4;1;17;21;3;7.0;5;1;8;2;2;1;0;1;2.0;1.0;5;1;4;4;2;4;1
347;0;6;6;4;1;20;1;3;2.0;1;1;1;2;2;1;0;1;2.0;1.0;4;1;2;5;2;5;1
349;1;13;7;4;1;7;18;1;7.0;1;1;8;2;3;3;0;1;2.0;1.0;5;1;2;6;2;4;1
351;0;3;7;3;1;14;18;1;2.0;6;1;1;2;2;1;0;1;2.0;1.0;2;1;2;6;2;5;1
352;1;9;6;4;5;15;13;1;7.0;1;1;8;2;3;4;0;1;1.0;1.0;4;1;4;3;2;2;1
353;0;10;1;4;1;11;1;1;3.0;6;1;8;3;2;1;0;1;2.0;1.0;4;1;3;3;2;2;1
355;0;6;2;4;1;10;13;1;1.0;3;1;8;2;2;1;0;3;1.0;1.0;4;4;4;3;3;2;1
356;1;3;3;4;1;9;1;1;2.0;1;1;1;2;2;1;0;2;1.0;1.0;4;3;2;3;2;2;1
357;0;3;1;4;5;17;1;5;10.0;1;1;1;3;2;1;0;2;2.0;2.0;3;2;2;4;2;3;1
359;0;3;4;3;5;19;1;2;2.0;1;1;1;3;2;1;0;1;2.0;1.0;5;1;2;3;3;4;1
360;0;6;7;4;1;18;13;3;7.0;1;1;8;3;3;7;0;1;2.0;1.0;6;1;4;3;2;2;1
364;1;9;6;3;1;10;1;1;7.0;1;1;1;3;2;1;0;8;2.0;1.0;4;1;2;3;2;3;1
368;1;4;3;3;1;14;1;1;8.0;1;2;7;3;2;1;0;1;2.0;1.0;6;1;2;5;2;5;1
372;1;7;1;3;1;15;13;1;7.0;2;2;7;3;2;1;0;1;2.0;1.0;5;1;2;4;2;4;1
374;0;9;3;3;5;10;1;1;7.0;1;2;8;2;3;5;0;1;2.0;1.0;4;1;4;3;2;2;1
375;0;5;2;4;3;21;1;3;2.0;1;2;7;3;2;1;0;1;2.0;1.0;6;1;2;4;2;5;1
382;0;11;1;4;1;11;1;1;7.0;1;2;8;2;2;1;0;1;1.0;1.0;4;1;3;3;2;2;1
383;0;10;1;4;5;12;1;1;7.0;1;2;8;2;3;4;0;1;1.0;1.0;4;1;4;3;2;2;1
384;0;9;7;4;1;12;13;1;2.0;3;1;1;2;2;1;0;1;2.0;1.0;5;1;2;3;2;4;1
386;0;10;6;4;1;16;7;1;7.0;2;2;1;2;2;1;0;1;2.0;1.0;4;1;2;3;2;2;1
393;0;8;5;3;1;16;13;1;7.0;2;2;7;2;2;1;0;1;2.0;1.0;5;1;2;6;2;4;1
396;0;5;7;3;1;2;13;2;7.0;2;3;1;2;2;1;0;1;2.0;1.0;6;1;2;5;2;4;1
397;0;6;7;4;1;2;7;2;2.0;2;3;1;2;2;1;0;1;2.0;1.0;4;1;2;3;2;4;1
407;0;7;6;4;5;16;1;1;7.0;1;3;8;3;3;2;0;1;2.0;1.0;5;1;4;3;2;2;1
409;0;6;4;4;5;7;13;1;7.0;4;3;7;2;2;1;0;2;2.0;1.0;5;2;2;3;2;2;1
412;1;10;5;4;5;9;1;1;8.0;1;3;1;3;2;1;0;8;2.0;1.0;3;1;2;3;2;2;1
414;0;6;4;2;5;20;1;2;4.0;1;3;1;3;2;1;0;8;2.0;1.0;4;1;2;3;2;4;1
417;0;5;5;4;1;19;13;5;4.0;3;3;8;2;2;1;0;1;2.0;1.0;5;1;3;3;2;2;1
419;0;6;3;3;1;6;13;2;7.0;4;3;1;2;2;1;0;1;2.0;1.0;3;1;2;5;2;4;1
423;1;6;6;4;1;9;13;1;2.0;2;4;1;2;2;1;0;1;2.0;1.0;5;1;2;5;2;4;1
425;0;8;2;4;1;16;13;1;10.0;3;4;8;2;2;1;0;1;2.0;1.0;4;1;3;3;2;2;1
431;1;7;1;4;1;18;1;3;2.0;1;1;8;2;2;1;0;1;1.0;1.0;3;1;3;3;2;2;1
432;0;4;5;4;1;14;13;1;4.0;2;4;7;2;2;1;0;8;2.0;1.0;4;1;2;3;2;2;1
435;0;11;3;4;5;14;1;1;7.0;1;4;8;2;3;4;0;1;1.0;1.0;5;1;4;3;2;2;1
438;0;4;3;4;1;9;1;1;2.0;1;5;1;3;2;1;0;2;2.0;1.0;4;3;2;3;2;3;1
443;0;9;7;3;1;18;13;1;7.0;2;5;1;3;2;1;0;1;2.0;1.0;4;1;2;3;2;2;1
444;0;6;3;4;5;7;1;1;10.0;1;4;1;3;2;1;0;1;1.0;1.0;5;1;2;6;2;4;1
449;0;6;7;4;5;10;1;1;7.0;1;4;1;3;2;1;0;1;2.0;1.0;4;1;2;4;2;4;1
452;0;10;1;4;5;13;1;1;7.0;1;4;8;3;2;1;0;1;2.0;1.0;5;1;4;3;2;2;1
463;1;4;1;4;1;22;13;2;8.0;2;2;7;2;2;1;0;1;2.0;1.0;5;1;2;5;2;4;1
464;1;3;1;4;1;22;13;3;4.0;4;2;1;2;2;1;0;8;2.0;1.0;3;1;2;5;2;2;1
470;0;6;6;3;1;23;1;3;10.0;1;4;1;2;2;1;0;1;2.0;1.0;5;1;2;7;2;4;1
473;1;3;3;4;1;22;13;3;4.0;4;5;1;2;2;1;0;8;2.0;1.0;5;1;2;3;2;3;1
476;1;4;5;4;1;16;13;1;2.0;3;5;8;2;2;1;0;1;2.0;1.0;3;1;3;3;2;2;1
478;1;6;1;4;5;15;1;1;8.0;1;5;8;2;3;3;0;1;1.0;1.0;5;1;3;3;2;4;1
479;0;5;7;3;1;16;13;1;4.0;1;5;1;2;2;1;0;1;2.0;1.0;5;1;2;3;2;2;1
482;1;5;3;4;1;7;13;1;2.0;2;5;1;2;2;1;0;1;2.0;1.0;5;1;2;7;2;4;1
483;1;9;7;4;5;17;1;1;2.0;1;5;1;3;2;1;0;2;2.0;1.0;2;2;2;4;2;2;1
489;0;4;6;4;1;18;15;1;4.0;1;5;8;2;3;4;0;1;2.0;1.0;5;1;4;3;2;3;1
496;1;5;1;4;1;18;13;1;10.0;4;5;1;2;2;1;0;2;2.0;1.0;4;2;2;5;2;3;1
503;1;4;5;4;1;21;13;3;4.0;4;6;1;2;2;1;0;2;2.0;1.0;4;3;2;3;2;2;1
506;1;4;2;4;1;13;13;1;7.0;4;6;8;2;2;1;0;2;2.0;1.0;4;2;3;3;2;2;1
507;0;8;6;4;1;23;7;2;7.0;2;6;1;2;2;1;0;1;2.0;1.0;5;1;2;4;2;4;1
518;1;11;4;2;5;18;1;1;2.0;1;7;1;2;3;2;0;1;1.0;1.0;4;1;2;3;2;2;1
525;1;7;1;3;5;14;15;1;6.0;1;7;6;2;3;4;0;1;2.0;1.0;4;1;4;3;2;4;1
526;0;5;4;3;1;5;7;4;7.0;2;7;1;2;2;1;0;1;2.0;1.0;4;1;2;6;2;4;1
535;1;9;6;4;1;6;18;1;2.0;4;7;1;2;2;1;0;1;1.0;1.0;5;1;2;3;2;2;1
544;0;6;7;4;1;21;1;2;7.0;1;7;1;2;2;1;0;1;1.0;1.0;4;1;2;5;2;4;1
547;0;8;1;3;1;16;2;1;7.0;4;6;1;2;2;1;0;2;2.0;1.0;3;3;2;5;2;5;1
552;0;3;5;4;1;2;13;3;2.0;1;7;1;2;3;3;0;1;3.0;1.0;6;1;2;3;2;3;1
554;1;7;7;4;1;16;18;1;7.0;5;5;1;2;2;1;0;1;2.0;1.0;4;1;2;6;2;4;1
555;1;6;1;3;5;14;1;1;7.0;2;8;1;3;2;1;0;8;2.0;1.0;4;1;2;5;2;2;1
556;1;9;1;3;5;14;13;1;7.0;2;8;1;3;2;1;0;8;2.0;1.0;4;1;2;5;2;2;1
559;0;3;3;4;5;10;13;1;8.0;2;8;7;2;2;1;1;12;2.0;1.0;5;1;2;5;2;4;1
560;0;3;6;4;1;20;13;5;8.0;3;8;8;2;2;1;0;1;2.0;1.0;5;1;3;3;2;2;1
572;0;6;7;4;1;10;21;1;7.0;5;6;1;2;2;1;0;1;1.0;1.0;5;1;2;6;2;4;1
588;1;9;6;4;1;17;13;1;7.0;4;7;1;2;2;1;0;2;1.0;1.0;5;3;2;3;2;2;1
592;1;9;7;4;5;9;1;1;4.0;1;8;8;3;3;6;0;1;2.0;1.0;4;1;4;3;2;2;1
597;1;9;2;3;1;14;13;1;7.0;1;7;8;2;3;4;0;1;1.0;1.0;3;1;4;3;2;2;1
599;1;8;3;4;5;14;15;1;7.0;1;8;8;2;3;4;0;1;2.0;1.0;5;1;4;5;2;4;1
603;1;9;4;4;1;15;13;1;7.0;4;7;8;2;2;1;0;8;2.0;1.0;3;1;4;3;2;2;1
606;1;5;7;4;1;24;13;3;8.0;2;3;1;2;2;1;0;1;2.0;1.0;7;1;2;7;2;4;1
617;0;4;5;4;1;12;13;1;2.0;4;9;1;2;2;1;0;2;2.0;1.0;7;3;2;3;2;3;1
620;0;6;1;3;1;16;13;1;1.0;3;9;1;2;2;1;0;3;2.0;1.0;4;3;4;3;2;2;1
624;0;4;6;4;1;10;19;1;4.0;4;8;8;2;2;1;0;3;2.0;1.0;3;2;2;3;2;2;1
626;1;7;1;4;1;15;13;1;4.0;4;8;1;3;2;1;0;8;2.0;1.0;3;1;2;5;2;5;1
627;1;3;6;3;1;22;1;3;4.0;1;9;1;3;2;1;0;8;2.0;1.0;5;1;2;3;2;2;1
630;1;10;3;1;5;14;1;1;10.0;1;9;8;2;2;1;0;1;3.0;1.0;2;1;2;3;2;2;1
636;0;10;1;2;1;22;22;3;7.0;5;9;1;2;2;1;0;1;2.0;1.0;6;1;2;5;2;4;1
641;0;10;4;4;1;7;21;1;7.0;4;8;1;2;2;1;0;2;2.0;2.0;4;2;2;3;2;2;1
658;1;10;6;4;5;12;1;1;2.0;1;10;1;2;3;2;0;1;2.0;1.0;4;1;4;3;2;2;1
662;1;10;4;2;5;10;1;1;8.0;1;9;1;2;3;4;0;1;1.0;1.0;2;1;2;3;2;2;1
670;1;5;7;4;1;23;1;3;7.0;1;9;8;2;2;1;0;1;1.0;1.0;4;1;4;5;2;2;1
673;1;3;1;4;1;12;13;1;4.0;3;9;8;2;2;1;0;1;1.0;1.0;4;1;3;3;2;2;1
675;0;8;1;4;1;12;13;1;7.0;3;9;8;2;2;1;0;1;1.0;1.0;3;1;4;3;2;2;1
676;1;8;1;4;1;12;21;1;7.0;3;9;8;2;2;1;0;1;1.0;1.0;3;1;4;3;2;2;1
678;0;10;1;3;1;12;18;1;7.0;3;9;8;2;2;1;0;1;1.0;1.0;3;1;4;3;2;2;1
679;0;8;1;3;1;12;18;1;1.0;3;9;8;2;2;1;0;1;1.0;1.0;4;1;3;3;2;2;1
680;1;5;1;4;1;13;13;1;4.0;2;9;1;2;2;1;0;3;1.0;1.0;4;3;2;3;2;2;1
683;0;4;3;4;1;8;13;1;2.0;4;9;1;2;2;1;0;8;1.0;1.0;4;1;2;3;2;2;1
687;0;10;6;4;1;14;13;1;2.0;3;9;8;2;2;1;0;1;2.0;1.0;3;1;3;3;2;2;1
688;0;7;7;4;1;14;13;1;2.0;3;10;8;2;2;1;0;3;1.0;1.0;6;3;4;3;2;2;1
689;1;10;7;3;1;18;13;5;7.0;1;10;1;2;2;1;0;1;1.0;1.0;3;1;2;3;2;2;1
690;0;7;7;3;1;22;13;3;7.0;4;10;1;3;2;1;0;2;1.0;1.0;3;2;2;3;2;5;1
694;0;8;7;3;1;11;8;1;7.0;1;10;1;2;2;1;0;1;1.0;1.0;4;1;2;3;2;2;1
696;0;10;7;1;1;11;15;1;7.0;1;10;1;2;2;1;0;1;1.0;1.0;4;1;2;3;2;2;1
698;0;10;7;4;1;11;13;1;7.0;1;10;1;2;2;1;0;1;1.0;1.0;4;1;2;3;2;2;1
702;0;4;5;2;2;22;13;2;10.0;1;10;1;2;2;1;0;1;2.0;1.0;5;1;2;5;2;4;1
703;1;7;6;4;5;11;1;1;8.0;1;9;7;2;2;1;0;1;2.0;1.0;4;1;2;4;2;3;1
706;0;12;3;4;1;7;1;1;8.0;1;8;8;2;2;1;0;1;2.0;1.0;4;1;3;3;2;2;1
707;1;5;7;4;5;11;1;1;10.0;1;10;1;2;2;1;0;8;2.0;1.0;5;1;2;5;2;5;1
710;0;10;6;4;1;5;13;2;10.0;2;10;1;2;2;1;0;1;1.0;1.0;4;1;2;3;2;5;1
712;0;11;7;4;5;16;1;1;7.0;1;10;1;3;2;1;0;1;2.0;1.0;5;1;2;3;2;2;1
713;0;8;4;4;1;20;13;3;7.0;4;4;1;2;2;1;0;2;1.0;1.0;4;2;2;5;2;3;1
719;0;6;1;4;1;16;13;1;1.0;6;10;8;2;2;1;0;1;1.0;2.0;4;1;4;3;2;2;1
722;0;8;1;4;1;16;13;1;10.0;4;10;8;2;2;1;0;1;2.0;1.0;3;1;4;3;2;2;1
729;0;7;6;3;1;6;18;4;7.0;4;11;1;2;2;1;0;1;2.0;1.0;5;1;2;5;2;4;1
